year,award,outcome,title,author
2013,Best Short Fiction,Nominee,The Castle That Jack Built,Emily Gilman
2013,Best Short Fiction,Nominee,Breaking the Frame,Kat Howard
2013,Best Short Fiction,Nominee,"Swift, Brutal Retaliation",Meghan Mccarron
2013,Best Short Fiction,Winner,The Telling,Gregory Norman Bossert
2014,Best Novel,Nominee,Dust Devil on a Quiet Street,Richard Bowes
2014,Best Novel,Nominee,A Natural History of Dragons: A Memoir by Lady Trent,Marie Brennan
2014,Best Novel,Nominee,The Ocean at the End of the Lane,Neil Gaiman
2014,Best Novel,Winner,A Stranger in Olondria,Sofia Samatar
2014,Best Novel,Nominee,The Golem and the Jinni,Helene Wecker
2014,Best Novel,Nominee,The Land Across,Gene Wolfe
2014,Best Short Fiction,Nominee,The Ink Readers of Doi Saket,Thomas Olde Heuvelt
2014,Best Short Fiction,Winner,The Prayer of Ninety Cats,Caitlí R. Kiernan
2014,Best Short Fiction,Nominee,Effigy Nights,Yoon Ha Lee
2014,Best Short Fiction,Nominee,Selkie Stories Are for Losers,Sofia Samatar
2014,Best Short Fiction,Nominee,"If You Were a Dinosaur, My Love",Rachel Swirsky
2015,Best Novel,Nominee,The Goblin Emperor,Katherine Addison
2015,Best Novel,Nominee,City of Stairs,Robert Jackson Bennett
2015,Best Novel,Winner,The Bone Clocks,David Mitchell
2015,Best Novel,Nominee,Area X: The Southern Reach Trilogy,Jeff Vandermeer
2015,Best Novel,Nominee,My Real Children,Jo Walton
2015,Best Short Fiction,Nominee,I Can See Right Through You,Kelly Link
2015,Best Short Fiction,Winner,Do You Like to Look at Monsters?,Scott Nicolay
2015,Best Short Fiction,Nominee,Jackalope Wives,Ursula Vernon
2015,Best Short Fiction,Nominee,Death's Door Café,Kaaron Warren
2015,Best Short Fiction,Nominee,The Fisher Queen,Alyssa Wong
2016,Best Novel,Nominee,The Buried Giant,Kazuo Ishiguro
2016,Best Novel,Nominee,The Fifth Season,N. K. Jemisin
2016,Best Novel,Winner,Uprooted,Naomi Novik
2016,Best Novel,Nominee,Savages,K. J. Parker
2016,Best Novel,Winner,The Chimes,Anna Smaill
2016,Best Novel,Nominee,A Head Full of Ghosts,Paul Tremblay
2016,Best Long Fiction,Winner,The Unlicensed Magician,Kelly Barnhill
2016,Best Long Fiction,Nominee,The Pauper Prince and the Eucalyptus Jinn,Usman T. Malik
2016,Best Long Fiction,Nominee,Guignol,Kim Newman
2016,Best Long Fiction,Nominee,Waters of Versailles,Kelly Robson
2016,Best Long Fiction,Nominee,Farewell Blues,Bud Webster
2016,Best Short Fiction,Nominee,The Neurastheniac,Selena Chambers
2016,Best Short Fiction,Nominee,Pockets,Amal El-Mohtar
2016,Best Short Fiction,Nominee,The Heat of Us: Notes Toward an Oral History,Sam J. Miller
2016,Best Short Fiction,Nominee,The Deepwater Bride,Tamsyn Muir
2016,Best Short Fiction,Winner,Hungry Daughters of Starving Mothers,Alyssa Wong
2017,Best Novel,Nominee,Borderline,Mishell Baker
2017,Best Novel,Nominee,Roadsouls,Betsy James
2017,Best Novel,Nominee,The Obelisk Gate,N. K. Jemisin
2017,Best Novel,Winner,The Sudden Appearance of Hope,Claire North
2017,Best Novel,Nominee,Lovecraft Country,Matt Ruff
2017,Best Long Fiction,Winner,The Dream-Quest of Vellitt Boe,Kij Johnson
2017,Best Long Fiction,Nominee,The Ballad of Black Tom,Victor Lavalle
2017,Best Long Fiction,Nominee,Every Heart a Doorway,Seanan Mcguire
2017,Best Long Fiction,Nominee,Bloodybones,Paul F. Olson
2017,Best Long Fiction,Nominee,A Taste of Honey,Kai Ashante
2017,Best Short Fiction,Winner,Das Steingeschöpf,G. V. Anderson
2017,Best Short Fiction,Nominee,Our Talons Can Crush Galaxies,Brooke Bolander
2017,Best Short Fiction,Nominee,Seasons of Glass and Iron,Amal El-Mohtar
2017,Best Short Fiction,Nominee,Little Widow,Maria Dahvana Headley
2017,Best Short Fiction,Nominee,The Fall Shall Further the Flight in Me,Rachael K. Jones
